Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Species interpretation	Context	Org interpretation	Drug	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
ERR257656	NA	UNYN01000002.1	474533	477682	-	oqxB19	multidrug efflux RND transporter permease subunit OqxB19	Klebsiella pneumoniae; v1.1	core	wt (S)	multiple drug	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	ALLELEX	1050	1050	100.00	100.00	1050	WP_004149399.1	multidrug efflux RND transporter permease subunit OqxB19	NA	NA
ERR257656	NA	UNYN01000002.1	477709	478881	-	oqxA3	multidrug efflux RND transporter periplasmic adaptor subunit OqxA3	Klebsiella pneumoniae; v1.1	core	wt (S)	multiple drug	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	ALLELEX	391	391	100.00	100.00	391	WP_004890321.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA3	NA	NA
ERR257656	NA	UNYN01000003.1	557748	558605	-	blaSHV-33	broad-spectrum class A beta-lactamase SHV-33	Klebsiella pneumoniae; v1.1	core	wt (R)	ampicillin	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_023325206.1	broad-spectrum class A beta-lactamase SHV-33	NA	NA
ERR257656	NA	UNYN01000006.1	15444	15860	+	fosA	FosA5 family fosfomycin resistance glutathione transferase	Klebsiella pneumoniae; v1.1	core	wt (S)	fosfomycin	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	139	139	100.00	100.00	139	WP_004146118.1	FosA5 family fosfomycin resistance glutathione transferase	NA	NA
ERR257656	NA	UNYN01000008.1	196592	197773	+	emrD	multidrug efflux MFS transporter EmrD	Klebsiella pneumoniae; v1.1				plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	394	394	100.00	99.24	394	ACN65732.1	multidrug efflux MFS transporter EmrD	NA	NA
ERR257656	NA	UNYN01000015.1	25521	26378	-	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	Klebsiella pneumoniae; v1.1		wt (R)	ampicillin	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
ERR257656	NA	UNYN01000019.1	3447	3917	+	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	Klebsiella pneumoniae; v1.1			trimethoprim	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_071846295.1	trimethoprim-resistant dihydrofolate reductase DfrA1	NA	NA
ERR257656	NA	UNYN01000019.1	4612	5400	+	aadA22	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22	Klebsiella pneumoniae; v1.1				core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	263	263	100.00	93.54	263	WP_071846321.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22	NA	NA
ERR257656	NA	UNYN01000019.1	5908	6744	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	Klebsiella pneumoniae; v1.1				core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
EuSCAPE_DE047	NA	NZ_UKKZ01000001.1	122816	123673	-	blaSHV-28	broad-spectrum class A beta-lactamase SHV-28	Klebsiella pneumoniae; v1.1	core	wt (R)	ampicillin	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_004179754.1	broad-spectrum class A beta-lactamase SHV-28	NA	NA
EuSCAPE_DE047	NA	NZ_UKKZ01000003.1	205730	208360	-	gyrA_S83Y	Klebsiella pneumoniae quinolone resistant GyrA	Klebsiella pneumoniae; v1.1			ciprofloxacin	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	877	877	100.00	99.77	877	WP_117036963.1	DNA gyrase subunit A GyrA	NA	NA
EuSCAPE_DE047	NA	NZ_UKKZ01000022.1	70069	70485	-	fosA	FosA5 family fosfomycin resistance glutathione transferase	Klebsiella pneumoniae; v1.1	core	wt (S)	fosfomycin	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	139	139	100.00	100.00	139	WP_004146118.1	FosA5 family fosfomycin resistance glutathione transferase	NA	NA
EuSCAPE_DE047	NA	NZ_UKKZ01000042.1	1745	2215	+	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	Klebsiella pneumoniae; v1.1			trimethoprim	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_004201280.1	trimethoprim-resistant dihydrofolate reductase DfrA14	NA	NA
EuSCAPE_DE047	NA	NZ_UKKZ01000049.1	533	1174	-	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	Klebsiella pneumoniae; v1.1			ciprofloxacin	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_014386481.1	quinolone resistance pentapeptide repeat protein QnrB1	NA	NA
EuSCAPE_DE047	NA	NZ_UKKZ01000053.1	697	1569	+	blaCTX-M-15	extended-spectrum class A beta-lactamase CTX-M-15	Klebsiella pneumoniae; v1.1			ceftriaxone	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_000239590.1	extended-spectrum class A beta-lactamase CTX-M-15	NA	NA
EuSCAPE_DE047	NA	NZ_UKKZ01000054.1	1738	2919	-	tet(D)	tetracycline efflux MFS transporter Tet(D)	Klebsiella pneumoniae; v1.1				core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	394	394	100.00	100.00	394	WP_001039466.1	tetracycline efflux MFS transporter Tet(D)	NA	NA
EuSCAPE_HR089	NA	NZ_UJHW01000003.1	398499	401648	-	oqxB	multidrug efflux RND transporter permease subunit OqxB	Klebsiella pneumoniae; v1.1	core	wt (S)	multiple drug	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	1050	1050	100.00	99.90	1050	WP_016947602.1	multidrug efflux RND transporter permease subunit OqxB25	NA	NA
EuSCAPE_HR089	NA	NZ_UJHW01000003.1	401675	402847	-	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	Klebsiella pneumoniae; v1.1	core	wt (S)	multiple drug	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTX	391	391	100.00	100.00	391	WP_002914189.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	NA	NA
