sample	Allele	Drug	Org interpretation	RefSeq protein	Class	Subclass	Product name	Coverage	Identity
iso1	blaSHV-1	ampicillin	expected R	WP_001620095.1	BETA-LACTAM	BETA-LACTAM	broad-spectrum class A beta-lactamase SHV-1	100	100
iso1	blaTEM-1	ampicillin	expected R	WP_000027057.1	BETA-LACTAM	BETA-LACTAM	broad-spectrum class A beta-lactamase TEM-1	100	100
iso1	catA1	chloramphenicol		WP_002210545.1	PHENICOL	CHLORAMPHENICOL	type A-1 chloramphenicol O-acetyltransferase	100	100
iso1	fosA9	fosfomycin	expected S	WP_114473955.1	FOSFOMYCIN	FOSFOMYCIN	fosfomycin resistance glutathione transferase FosA9	100	100
iso1	gyrA_S83F	ciprofloxacin		WP_013098009.1	QUINOLONE	QUINOLONE	DNA gyrase subunit A GyrA	100	100
iso1	gyrA_D87G	ciprofloxacin		WP_003027598.1	QUINOLONE	QUINOLONE	DNA gyrase subunit A GyrA	100	100
iso1	blaKPC-2	meropenem		WP_004199234.1	BETA-LACTAM	CARBAPENEM	carbapenem-hydrolyzing class A beta-lactamase KPC-2	100	100
iso1	oqxA	ciprofloxacin	expected S	WP_002914189.1	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	100	100
iso1	oqxB	ciprofloxacin	expected S	WP_000347934.1	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	multidrug efflux RND transporter permease subunit OqxB	100	100
iso1	parC_S80I	ciprofloxacin		WP_013098723.1	QUINOLONE	QUINOLONE	DNA topoisomerase IV subunit A ParC	100	100
