Sample	Allele	Context	Org interpretation	Drug	Class	Subclass
EuSCAPE_DE047	blaSHV-28	core	wt (R)	ampicillin	BETA-LACTAM	BETA-LACTAM
EuSCAPE_DE047	gyrA_S83Y				QUINOLONE	QUINOLONE
EuSCAPE_DE047	fosA	core	wt (S)	fosfomycin	FOSFOMYCIN	FOSFOMYCIN
EuSCAPE_DE047	dfrA14				TRIMETHOPRIM	TRIMETHOPRIM
EuSCAPE_DE047	qnrB1				QUINOLONE	QUINOLONE
EuSCAPE_DE047	blaCTX-M-15				BETA-LACTAM	CEPHALOSPORIN
EuSCAPE_DE047	tet(D)				TETRACYCLINE	TETRACYCLINE
EuSCAPE_HR089	oqxB	core	wt (S)	multiple drug	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE
EuSCAPE_HR089	oqxA	core	wt (S)	multiple drug	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE
EuSCAPE_HR089	gyrA_S83I				QUINOLONE	QUINOLONE
EuSCAPE_HR089	fosA	core	wt (S)	fosfomycin	FOSFOMYCIN	FOSFOMYCIN
EuSCAPE_HR089	aadA1				AMINOGLYCOSIDE	STREPTOMYCIN
EuSCAPE_HR089	sul1				SULFONAMIDE	SULFONAMIDE
EuSCAPE_HR089	blaSHV-1	core	wt (R)	ampicillin	BETA-LACTAM	BETA-LACTAM
EuSCAPE_HR089	tet(D)				TETRACYCLINE	TETRACYCLINE
SGH10	oqxB19	core	wt (S)	multiple drug	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE
SGH10	oqxA	core	wt (S)	multiple drug	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE
SGH10	blaSHV-11	core	wt (R)	ampicillin	BETA-LACTAM	BETA-LACTAM
SGH10	fosA	core	wt (S)	fosfomycin	FOSFOMYCIN	FOSFOMYCIN
